time,prey,predator
1.005251312828207055e+01,1.606289010236192638e+00,1.600654286856246955e+01
1.010252563140785220e+01,1.566117902168252529e+00,1.582622613202160800e+01
1.015253813453363385e+01,1.528082905927485413e+00,1.564662514007920713e+01
1.020255063765941550e+01,1.492082301161026248e+00,1.546782685583714390e+01
1.025256314078519715e+01,1.458019761238767753e+00,1.528991214165970547e+01
1.030257564391097880e+01,1.425804094113577447e+00,1.511295610360158470e+01
1.035258814703676045e+01,1.395349021721371319e+00,1.493702841280629023e+01
1.040260065016254032e+01,1.366572960077490517e+00,1.476219361771386751e+01
1.045261315328832197e+01,1.339398923705885869e+00,1.458851126530156606e+01
1.050262565641410362e+01,1.313754255540814597e+00,1.441603624170712905e+01
1.055263815953988527e+01,1.289570403466818282e+00,1.424481907140889980e+01
1.060265066266566691e+01,1.266782768893286004e+00,1.407490611318880269e+01
1.065266316579144856e+01,1.245330558796336362e+00,1.390633973975877602e+01
1.070267566891723021e+01,1.225156568058371143e+00,1.373915860783764664e+01
1.075268817204301186e+01,1.206206957498368482e+00,1.357339793768787928e+01
1.080270067516879351e+01,1.188431174464184448e+00,1.340908961051764869e+01
1.085271317829457338e+01,1.171781771175711251e+00,1.324626238762776786e+01
1.090272568142035503e+01,1.156214228524646392e+00,1.308494212734329665e+01
1.095273818454613668e+01,1.141686786671477272e+00,1.292515199097643297e+01
1.100275068767191833e+01,1.128160384812810335e+00,1.276691251538571947e+01
1.105276319079769998e+01,1.115598486180766180e+00,1.261024182592329979e+01
1.110277569392348163e+01,1.103966933074663981e+00,1.245515581268600691e+01
1.115278819704926327e+01,1.093233838583571371e+00,1.230166826018903770e+01
1.120280070017504492e+01,1.083369516294161228e+00,1.214979093340280158e+01
1.125281320330082657e+01,1.074346346106480832e+00,1.199953374428640451e+01
1.130282570642660644e+01,1.066138645977842359e+00,1.185090490638367555e+01
1.135283820955238809e+01,1.058722611523591706e+00,1.170391100736639878e+01
1.140285071267816974e+01,1.052076241427025716e+00,1.155855710322056851e+01
1.145286321580395139e+01,1.046179241021941930e+00,1.141484684141103401e+01
1.150287571892973304e+01,1.041012914269251910e+00,1.127278259219990098e+01
1.155288822205551469e+01,1.036560129009467923e+00,1.113236549120507313e+01
1.160290072518129634e+01,1.032805252381727712e+00,1.099359552482947855e+01
1.165291322830707799e+01,1.029734080436986554e+00,1.085647162435583546e+01
1.170292573143285786e+01,1.027333752830524638e+00,1.072099177271871540e+01
1.175293823455863951e+01,1.025592728263126974e+00,1.058715303565734978e+01
1.180295073768442116e+01,1.024500739143794137e+00,1.045495162598198391e+01
1.185296324081020281e+01,1.024048738229643929e+00,1.032438298071239302e+01
1.190297574393598445e+01,1.024228835902107004e+00,1.019544184430704803e+01
1.195298824706176610e+01,1.025034275514105531e+00,1.006812230192045376e+01
1.200300075018754775e+01,1.026459413343667748e+00,9.942417811161615049e+00
1.205301325331332940e+01,1.028499670661311427e+00,9.818321279815373614e+00
1.210302575643911105e+01,1.031151500541123367e+00,9.695825115143042794e+00
1.215303825956489092e+01,1.034412355318082177e+00,9.574921273002768629e+00
1.220305076269067257e+01,1.038280683144125804e+00,9.455601264407984985e+00
1.225306326581645422e+01,1.042755894723378152e+00,9.337856220634959570e+00
1.230307576894223587e+01,1.047838348004491937e+00,9.221676922765063011e+00
1.235308827206801752e+01,1.053529317783874708e+00,9.107053859009765162e+00
1.240310077519379917e+01,1.059830990910249460e+00,8.993977233878291955e+00
1.245311327831958081e+01,1.066746460517183470e+00,8.882436985701506416e+00
1.250312578144536246e+01,1.074279706501658049e+00,8.772422841912263181e+00
1.255313828457114411e+01,1.082435590435985473e+00,8.663924336637306212e+00
1.260315078769692398e+01,1.091219843299761960e+00,8.556930852611863259e+00
1.265316329082270563e+01,1.100639065027608998e+00,8.451431622641559116e+00
1.270317579394848728e+01,1.110700724023276242e+00,8.347415745611790783e+00
1.275318829707426893e+01,1.121413151089145632e+00,8.244872232241840848e+00
1.280320080020005058e+01,1.132785541677996166e+00,8.143790012292216218e+00
1.285321330332583223e+01,1.144827960116812093e+00,8.044157970860236873e+00
1.290322580645161388e+01,1.157551339665876311e+00,7.945964949669827249e+00
1.295323830957739553e+01,1.170967484179112894e+00,7.849199750191147018e+00
1.300325081270317717e+01,1.185089082516801673e+00,7.753851176060263306e+00
1.305326331582895705e+01,1.199929700270980115e+00,7.659908032647715359e+00
1.310327581895473870e+01,1.215503810575586874e+00,7.567359157662723490e+00
1.315328832208052035e+01,1.231826800466970573e+00,7.476193429845915617e+00
1.320330082520630199e+01,1.248914970883890918e+00,7.386399768969314827e+00
1.325331332833208364e+01,1.266785543581362194e+00,7.297967140949011444e+00
1.330332583145786529e+01,1.285456696892560702e+00,7.210884597397321905e+00
1.335333833458364694e+01,1.304947543775255347e+00,7.125141265848046856e+00
1.340335083770942859e+01,1.325278194564755818e+00,7.040726375579089868e+00
1.345336334083521024e+01,1.346469766036485716e+00,6.957629262690409711e+00
1.350337584396099011e+01,1.368544381405982335e+00,6.875839370104028347e+00
1.355338834708677176e+01,1.391525171595642707e+00,6.795346248040121218e+00
1.360340085021255341e+01,1.415436335108636090e+00,6.716139583044302697e+00
1.365341335333833506e+01,1.440303114318103761e+00,6.638209201013285821e+00
1.370342585646411671e+01,1.466151854695951773e+00,6.561545073238042036e+00
1.375343835958989835e+01,1.493010042301947005e+00,6.486137327095907956e+00
1.380345086271568000e+01,1.520906303783715385e+00,6.411976246050579142e+00
1.385346336584146165e+01,1.549870406376742782e+00,6.339052269652110105e+00
1.390347586896724330e+01,1.579933295342736521e+00,6.267356004973756889e+00
1.395348837209302317e+01,1.611127135420564738e+00,6.196878247388536209e+00
1.400350087521880482e+01,1.643485312856884484e+00,6.127609971017268897e+00
1.405351337834458647e+01,1.677042507944669136e+00,6.059542341189612991e+00
1.410352588147036812e+01,1.711834696041924841e+00,5.992666714685445761e+00
1.415353838459614977e+01,1.747899147572148371e+00,5.926974639734953421e+00
1.420355088772193142e+01,1.785274472636501075e+00,5.862457866952703434e+00
1.425356339084771307e+01,1.824000645506090423e+00,5.799108359796705692e+00
1.430357589397349471e+01,1.864119038655360328e+00,5.736918292102474837e+00
1.435358839709927459e+01,1.905672469481733078e+00,5.675880054501718064e+00
1.440360090022505624e+01,1.948705200305614893e+00,5.615986254422327129e+00
1.445361340335083788e+01,1.993262951263901295e+00,5.557229718789599815e+00
1.450362590647661953e+01,2.039392946614968061e+00,5.499603506621818738e+00
1.455363840960240118e+01,2.087143924390356009e+00,5.443100906911862324e+00
1.460365091272818283e+01,2.136566190776981511e+00,5.387715443803933191e+00
1.465366341585396448e+01,2.187711623467900601e+00,5.333440877102774813e+00
1.470367591897974613e+01,2.240633680878577394e+00,5.280271204513666383e+00
1.475368842210552778e+01,2.295387429752645314e+00,5.228200670378290837e+00
1.480370092523130765e+01,2.352029559943873416e+00,5.177223765169280512e+00
1.485371342835708930e+01,2.410618418760877457e+00,5.127335229367830927e+00
1.490372593148287095e+01,2.471214012383377234e+00,5.078530053717718040e+00
1.495373843460865260e+01,2.533878011913119899e+00,5.030803483230787521e+00
1.500375093773443425e+01,2.598673756096814280e+00,4.984151020980782221e+00
1.505376344086021589e+01,2.665666265950538349e+00,4.938568429806320381e+00
1.510377594398599754e+01,2.734922251806732874e+00,4.894051734282551358e+00
1.515378844711177919e+01,2.806510109797519803e+00,4.850597221570985162e+00
